RecordDate,Symbol,Series,Prev_Close,Day_Open,Day_High,Day_Low,Day_Last,Day_Close,VWAP,Volume,Turnover,Trades,Deliverable_Volume,Percent_Deliverable,Industry
2021-02-03,SHREECEM,EQ,26432.55,26400,26579,25731.05,26000,25994.4,26170.7,110699,289707000250000,30301,20585,0.18600000000000005,CEMENT & CEMENT PRODUCTS
2021-02-03,TCS,EQ,3203.45,3213,3236,3162.65,3200,3200.05,3209.5,2505866,804258172380000,116096,916858,0.3659000000000001,IT
2021-02-03,RELIANCE,EQ,1925.8,1928.3,1952,1900,1928.5,1930.65,1931.87,13984228,2701567344265000,345625,4832689,0.3456,OIL & GAS
2021-02-03,POWERGRID,EQ,194.2,194.5,210,194.5,205.8,206.5,205.41,41294096,848202358180000,173953,14258761,0.3453,POWER
2021-02-03,TATAMOTORS,EQ,322,339.2,341.9,326.2,331.2,331,334.33,224190114,7495451628710002,1057040,22289570,0.0994,AUTOMOBILE
2021-02-03,JSWSTEEL,EQ,389,386.2,398.45,384.7,393,392.9,392.88,6063017,238205121440000,57075,861362,0.1421,METALS
2021-02-03,ULTRACEMCO,EQ,6123.55,6155,6238,6040,6063.15,6074.7,6115.24,952770,582641464840000,90541,343647,0.3607,CEMENT & CEMENT PRODUCTS
2021-02-03,HEROMOTOCO,EQ,3293.85,3296.55,3422,3268,3407.65,3380.8,3351.99,1077971,361334561135000,71065,313765,0.2911,AUTOMOBILE
2021-02-03,HDFCBANK,EQ,1560.55,1579,1581.7,1542,1571,1574.8,1565.97,10118627,1584549869150000,316129,4768384,0.4712,FINANCIAL SERVICES
2021-02-03,HINDALCO,EQ,255.35,254,263.4,252.55,257,257.25,257.81,15670948,404005377900000,105090,5342711,0.34090000000000004,METALS
2021-02-03,HDFC,EQ,2659,2695,2734.5,2618,2702.95,2703.55,2687.61,4782433,1285331978040000,200284,2070316,0.4329,FINANCIAL SERVICES
2021-02-03,CIPLA,EQ,821.6,826,878.9,824.2,852.25,849.25,858.38,15674616,1345470804965000,234283,2257585,0.14400000000000002,PHARMA
2021-02-03,COALINDIA,EQ,131.25,131.25,138,131.25,137,137.25,135.34,25483402,344890251890000,95262,9194662,0.3608,METALS
2021-02-03,BRITANNIA,EQ,3501.25,3526.05,3544,3501,3522.05,3516.5,3515.79,786972,276682834575000,66049,436673,0.5549000000000001,CONSUMER GOODS
2021-02-03,AXISBANK,EQ,714.2,720,736.8,715.55,731.3,733.8,729.55,23541361,1717464677005000,367908,10647564,0.4523,FINANCIAL SERVICES
